"analysis_id","run_id","video_name","camera_name","start_time","end_time","total_people","in_count","out_count","male_count","female_count","unknown_gender_count","adult_count","minor_count","unknown_age_count","detection_method","line_position","analysis_time"
1,1,"A1-20250601-000000-005959.mp4","A1",2025/6/1 0:00:00,2025/6/1 0:59:59,5,3,2,3,1,1,3,1,1,"horizontal_a",0.50,2025/6/1 9:44:00
2,1,"A1-20250601-010000-015959.mp4","A1",2025/6/1 1:00:00,2025/6/1 1:59:59,7,4,3,4,2,1,4,2,1,"horizontal_a",0.50,2025/6/1 9:45:50
3,1,"A1-20250601-020000-025959.mp4","A1",2025/6/1 2:00:00,2025/6/1 2:59:59,9,5,4,5,3,1,5,3,1,"horizontal_a",0.50,2025/6/1 9:47:40
4,1,"A1-20250601-030000-035959.mp4","A1",2025/6/1 3:00:00,2025/6/1 3:59:59,11,6,5,6,4,1,6,4,1,"horizontal_a",0.50,2025/6/1 9:49:30
5,1,"A1-20250601-040000-045959.mp4","A1",2025/6/1 4:00:00,2025/6/1 4:59:59,13,7,6,7,5,1,7,5,1,"horizontal_a",0.50,2025/6/1 9:51:20
6,1,"A1-20250601-050000-055959.mp4","A1",2025/6/1 5:00:00,2025/6/1 5:59:59,15,8,7,8,6,1,8,6,1,"horizontal_a",0.50,2025/6/1 9:53:10
7,1,"A1-20250601-060000-065959.mp4","A1",2025/6/1 6:00:00,2025/6/1 6:59:59,17,9,8,9,7,1,9,7,1,"horizontal_a",0.50,2025/6/1 9:55:00
8,1,"A1-20250601-070000-075959.mp4","A1",2025/6/1 7:00:00,2025/6/1 7:59:59,19,10,9,10,8,1,10,8,1,"horizontal_a",0.50,2025/6/1 9:56:50
9,1,"A1-20250601-080000-085959.mp4","A1",2025/6/1 8:00:00,2025/6/1 8:59:59,21,11,10,11,9,1,11,9,1,"horizontal_a",0.50,2025/6/1 9:58:40
10,1,"A1-20250601-090000-095959.mp4","A1",2025/6/1 9:00:00,2025/6/1 9:59:59,23,12,11,12,10,1,12,10,1,"horizontal_a",0.50,2025/6/1 10:00:30
11,1,"A1-20250601-100000-105959.mp4","A1",2025/6/1 10:00:00,2025/6/1 10:59:59,25,13,12,13,11,1,13,11,1,"horizontal_a",0.50,2025/6/1 10:02:20
12,1,"A1-20250601-110000-115959.mp4","A1",2025/6/1 11:00:00,2025/6/1 11:59:59,27,14,13,14,12,1,14,12,1,"horizontal_a",0.50,2025/6/1 10:04:10
13,1,"A1-20250601-120000-125959.mp4","A1",2025/6/1 12:00:00,2025/6/1 12:59:59,29,15,14,15,13,1,15,13,1,"horizontal_a",0.50,2025/6/1 10:06:00
14,1,"A1-20250601-130000-135959.mp4","A1",2025/6/1 13:00:00,2025/6/1 13:59:59,31,16,15,16,14,1,16,14,1,"horizontal_a",0.50,2025/6/1 10:07:50
15,1,"A1-20250601-140000-145959.mp4","A1",2025/6/1 14:00:00,2025/6/1 14:59:59,33,17,16,17,15,1,17,15,1,"horizontal_a",0.50,2025/6/1 10:09:40
16,1,"A1-20250601-150000-155959.mp4","A1",2025/6/1 15:00:00,2025/6/1 15:59:59,35,18,17,18,16,1,18,16,1,"horizontal_a",0.50,2025/6/1 10:11:30
17,1,"A1-20250601-160000-165959.mp4","A1",2025/6/1 16:00:00,2025/6/1 16:59:59,37,19,18,19,17,1,19,17,1,"horizontal_a",0.50,2025/6/1 10:13:20
18,1,"A1-20250601-170000-175959.mp4","A1",2025/6/1 17:00:00,2025/6/1 17:59:59,39,20,19,20,18,1,20,18,1,"horizontal_a",0.50,2025/6/1 10:15:10
19,1,"A1-20250601-180000-185959.mp4","A1",2025/6/1 18:00:00,2025/6/1 18:59:59,41,21,20,21,19,1,21,19,1,"horizontal_a",0.50,2025/6/1 10:17:00
20,1,"A1-20250601-190000-195959.mp4","A1",2025/6/1 19:00:00,2025/6/1 19:59:59,43,22,21,22,20,1,22,20,1,"horizontal_a",0.50,2025/6/1 10:18:50
21,1,"A1-20250601-200000-205959.mp4","A1",2025/6/1 20:00:00,2025/6/1 20:59:59,45,23,22,23,21,1,23,21,1,"horizontal_a",0.50,2025/6/1 10:20:40
22,1,"A1-20250601-210000-215959.mp4","A1",2025/6/1 21:00:00,2025/6/1 21:59:59,47,24,23,24,22,1,24,22,1,"horizontal_a",0.50,2025/6/1 10:22:30
23,1,"A1-20250601-220000-225959.mp4","A1",2025/6/1 22:00:00,2025/6/1 22:59:59,49,25,24,25,23,1,25,23,1,"horizontal_a",0.50,2025/6/1 10:24:20
24,1,"A1-20250601-230000-235959.mp4","A1",2025/6/1 23:00:00,2025/6/1 23:59:59,51,26,25,26,24,1,26,24,1,"horizontal_a",0.50,2025/6/1 10:26:10
25,1,"A2-20250601-000000-005959.mp4","A2",2025/6/1 0:00:00,2025/6/1 0:59:59,7,4,3,4,2,1,4,2,1,"horizontal_a",0.50,2025/6/1 9:44:00
26,1,"A2-20250601-010000-015959.mp4","A2",2025/6/1 1:00:00,2025/6/1 1:59:59,9,5,4,5,3,1,5,3,1,"horizontal_a",0.50,2025/6/1 9:45:50
27,1,"A2-20250601-020000-025959.mp4","A2",2025/6/1 2:00:00,2025/6/1 2:59:59,11,6,5,6,4,1,6,4,1,"horizontal_a",0.50,2025/6/1 9:47:40
28,1,"A2-20250601-030000-035959.mp4","A2",2025/6/1 3:00:00,2025/6/1 3:59:59,13,7,6,7,5,1,7,5,1,"horizontal_a",0.50,2025/6/1 9:49:30
29,1,"A2-20250601-040000-045959.mp4","A2",2025/6/1 4:00:00,2025/6/1 4:59:59,15,8,7,8,6,1,8,6,1,"horizontal_a",0.50,2025/6/1 9:51:20
30,1,"A2-20250601-050000-055959.mp4","A2",2025/6/1 5:00:00,2025/6/1 5:59:59,17,9,8,9,7,1,9,7,1,"horizontal_a",0.50,2025/6/1 9:53:10
31,1,"A2-20250601-060000-065959.mp4","A2",2025/6/1 6:00:00,2025/6/1 6:59:59,19,10,9,10,8,1,10,8,1,"horizontal_a",0.50,2025/6/1 9:55:00
32,1,"A2-20250601-070000-075959.mp4","A2",2025/6/1 7:00:00,2025/6/1 7:59:59,21,11,10,11,9,1,11,9,1,"horizontal_a",0.50,2025/6/1 9:56:50
33,1,"A2-20250601-080000-085959.mp4","A2",2025/6/1 8:00:00,2025/6/1 8:59:59,23,12,11,12,10,1,12,10,1,"horizontal_a",0.50,2025/6/1 9:58:40
34,1,"A2-20250601-090000-095959.mp4","A2",2025/6/1 9:00:00,2025/6/1 9:59:59,25,13,12,13,11,1,13,11,1,"horizontal_a",0.50,2025/6/1 10:00:30
35,1,"A2-20250601-100000-105959.mp4","A2",2025/6/1 10:00:00,2025/6/1 10:59:59,27,14,13,14,12,1,14,12,1,"horizontal_a",0.50,2025/6/1 10:02:20
36,1,"A2-20250601-110000-115959.mp4","A2",2025/6/1 11:00:00,2025/6/1 11:59:59,29,15,14,15,13,1,15,13,1,"horizontal_a",0.50,2025/6/1 10:04:10
37,1,"A2-20250601-120000-125959.mp4","A2",2025/6/1 12:00:00,2025/6/1 12:59:59,31,16,15,16,14,1,16,14,1,"horizontal_a",0.50,2025/6/1 10:06:00
38,1,"A2-20250601-130000-135959.mp4","A2",2025/6/1 13:00:00,2025/6/1 13:59:59,33,17,16,17,15,1,17,15,1,"horizontal_a",0.50,2025/6/1 10:07:50
39,1,"A2-20250601-140000-145959.mp4","A2",2025/6/1 14:00:00,2025/6/1 14:59:59,35,18,17,18,16,1,18,16,1,"horizontal_a",0.50,2025/6/1 10:09:40
40,1,"A2-20250601-150000-155959.mp4","A2",2025/6/1 15:00:00,2025/6/1 15:59:59,37,19,18,19,17,1,19,17,1,"horizontal_a",0.50,2025/6/1 10:11:30
41,1,"A2-20250601-160000-165959.mp4","A2",2025/6/1 16:00:00,2025/6/1 16:59:59,39,20,19,20,18,1,20,18,1,"horizontal_a",0.50,2025/6/1 10:13:20
42,1,"A2-20250601-170000-175959.mp4","A2",2025/6/1 17:00:00,2025/6/1 17:59:59,41,21,20,21,19,1,21,19,1,"horizontal_a",0.50,2025/6/1 10:15:10
43,1,"A2-20250601-180000-185959.mp4","A2",2025/6/1 18:00:00,2025/6/1 18:59:59,43,22,21,22,20,1,22,20,1,"horizontal_a",0.50,2025/6/1 10:17:00
44,1,"A2-20250601-190000-195959.mp4","A2",2025/6/1 19:00:00,2025/6/1 19:59:59,45,23,22,23,21,1,23,21,1,"horizontal_a",0.50,2025/6/1 10:18:50
45,1,"A2-20250601-200000-205959.mp4","A2",2025/6/1 20:00:00,2025/6/1 20:59:59,47,24,23,24,22,1,24,22,1,"horizontal_a",0.50,2025/6/1 10:20:40
46,1,"A2-20250601-210000-215959.mp4","A2",2025/6/1 21:00:00,2025/6/1 21:59:59,49,25,24,25,23,1,25,23,1,"horizontal_a",0.50,2025/6/1 10:22:30
47,1,"A2-20250601-220000-225959.mp4","A2",2025/6/1 22:00:00,2025/6/1 22:59:59,51,26,25,26,24,1,26,24,1,"horizontal_a",0.50,2025/6/1 10:24:20
48,1,"A2-20250601-230000-235959.mp4","A2",2025/6/1 23:00:00,2025/6/1 23:59:59,53,27,26,27,25,1,27,25,1,"horizontal_a",0.50,2025/6/1 10:26:10
49,1,"A3-20250601-000000-005959.mp4","A3",2025/6/1 0:00:00,2025/6/1 0:59:59,9,5,4,5,3,1,5,3,1,"horizontal_a",0.50,2025/6/1 9:44:00
50,1,"A3-20250601-010000-015959.mp4","A3",2025/6/1 1:00:00,2025/6/1 1:59:59,11,6,5,6,4,1,6,4,1,"horizontal_a",0.50,2025/6/1 9:45:50
51,1,"A3-20250601-020000-025959.mp4","A3",2025/6/1 2:00:00,2025/6/1 2:59:59,13,7,6,7,5,1,7,5,1,"horizontal_a",0.50,2025/6/1 9:47:40
52,1,"A3-20250601-030000-035959.mp4","A3",2025/6/1 3:00:00,2025/6/1 3:59:59,15,8,7,8,6,1,8,6,1,"horizontal_a",0.50,2025/6/1 9:49:30
53,1,"A3-20250601-040000-045959.mp4","A3",2025/6/1 4:00:00,2025/6/1 4:59:59,17,9,8,9,7,1,9,7,1,"horizontal_a",0.50,2025/6/1 9:51:20
54,1,"A3-20250601-050000-055959.mp4","A3",2025/6/1 5:00:00,2025/6/1 5:59:59,19,10,9,10,8,1,10,8,1,"horizontal_a",0.50,2025/6/1 9:53:10
55,1,"A3-20250601-060000-065959.mp4","A3",2025/6/1 6:00:00,2025/6/1 6:59:59,21,11,10,11,9,1,11,9,1,"horizontal_a",0.50,2025/6/1 9:55:00
56,1,"A3-20250601-070000-075959.mp4","A3",2025/6/1 7:00:00,2025/6/1 7:59:59,23,12,11,12,10,1,12,10,1,"horizontal_a",0.50,2025/6/1 9:56:50
57,1,"A3-20250601-080000-085959.mp4","A3",2025/6/1 8:00:00,2025/6/1 8:59:59,25,13,12,13,11,1,13,11,1,"horizontal_a",0.50,2025/6/1 9:58:40
58,1,"A3-20250601-090000-095959.mp4","A3",2025/6/1 9:00:00,2025/6/1 9:59:59,27,14,13,14,12,1,14,12,1,"horizontal_a",0.50,2025/6/1 10:00:30
59,1,"A3-20250601-100000-105959.mp4","A3",2025/6/1 10:00:00,2025/6/1 10:59:59,29,15,14,15,13,1,15,13,1,"horizontal_a",0.50,2025/6/1 10:02:20
60,1,"A3-20250601-110000-115959.mp4","A3",2025/6/1 11:00:00,2025/6/1 11:59:59,31,16,15,16,14,1,16,14,1,"horizontal_a",0.50,2025/6/1 10:04:10
61,1,"A3-20250601-120000-125959.mp4","A3",2025/6/1 12:00:00,2025/6/1 12:59:59,33,17,16,17,15,1,17,15,1,"horizontal_a",0.50,2025/6/1 10:06:00
62,1,"A3-20250601-130000-135959.mp4","A3",2025/6/1 13:00:00,2025/6/1 13:59:59,35,18,17,18,16,1,18,16,1,"horizontal_a",0.50,2025/6/1 10:07:50
63,1,"A3-20250601-140000-145959.mp4","A3",2025/6/1 14:00:00,2025/6/1 14:59:59,37,19,18,19,17,1,19,17,1,"horizontal_a",0.50,2025/6/1 10:09:40
64,1,"A3-20250601-150000-155959.mp4","A3",2025/6/1 15:00:00,2025/6/1 15:59:59,39,20,19,20,18,1,20,18,1,"horizontal_a",0.50,2025/6/1 10:11:30
65,1,"A3-20250601-160000-165959.mp4","A3",2025/6/1 16:00:00,2025/6/1 16:59:59,41,21,20,21,19,1,21,19,1,"horizontal_a",0.50,2025/6/1 10:13:20
66,1,"A3-20250601-170000-175959.mp4","A3",2025/6/1 17:00:00,2025/6/1 17:59:59,43,22,21,22,20,1,22,20,1,"horizontal_a",0.50,2025/6/1 10:15:10
67,1,"A3-20250601-180000-185959.mp4","A3",2025/6/1 18:00:00,2025/6/1 18:59:59,45,23,22,23,21,1,23,21,1,"horizontal_a",0.50,2025/6/1 10:17:00
68,1,"A3-20250601-190000-195959.mp4","A3",2025/6/1 19:00:00,2025/6/1 19:59:59,47,24,23,24,22,1,24,22,1,"horizontal_a",0.50,2025/6/1 10:18:50
69,1,"A3-20250601-200000-205959.mp4","A3",2025/6/1 20:00:00,2025/6/1 20:59:59,49,25,24,25,23,1,25,23,1,"horizontal_a",0.50,2025/6/1 10:20:40
70,1,"A3-20250601-210000-215959.mp4","A3",2025/6/1 21:00:00,2025/6/1 21:59:59,51,26,25,26,24,1,26,24,1,"horizontal_a",0.50,2025/6/1 10:22:30
71,1,"A3-20250601-220000-225959.mp4","A3",2025/6/1 22:00:00,2025/6/1 22:59:59,53,27,26,27,25,1,27,25,1,"horizontal_a",0.50,2025/6/1 10:24:20
72,1,"A3-20250601-230000-235959.mp4","A3",2025/6/1 23:00:00,2025/6/1 23:59:59,55,28,27,28,26,1,28,26,1,"horizontal_a",0.50,2025/6/1 10:26:10
73,1,"A4-20250601-000000-005959.mp4","A4",2025/6/1 0:00:00,2025/6/1 0:59:59,11,6,5,6,4,1,6,4,1,"horizontal_a",0.50,2025/6/1 9:44:00
74,1,"A4-20250601-010000-015959.mp4","A4",2025/6/1 1:00:00,2025/6/1 1:59:59,13,7,6,7,5,1,7,5,1,"horizontal_a",0.50,2025/6/1 9:45:50
75,1,"A4-20250601-020000-025959.mp4","A4",2025/6/1 2:00:00,2025/6/1 2:59:59,15,8,7,8,6,1,8,6,1,"horizontal_a",0.50,2025/6/1 9:47:40
76,1,"A4-20250601-030000-035959.mp4","A4",2025/6/1 3:00:00,2025/6/1 3:59:59,17,9,8,9,7,1,9,7,1,"horizontal_a",0.50,2025/6/1 9:49:30
77,1,"A4-20250601-040000-045959.mp4","A4",2025/6/1 4:00:00,2025/6/1 4:59:59,19,10,9,10,8,1,10,8,1,"horizontal_a",0.50,2025/6/1 9:51:20
